course_id,normalized_skill_name,skill_type,confidence_score,extraction_method
SK0012,Quantitative Analysis,analytical,0.85,generated
SK0013,Advanced SQL & ETL,technical,0.85,generated
SK0014,Advanced SQL & ETL,technical,0.85,generated
SK0015,Python/R for Statistics,technical,0.85,generated
SK0016,Python/R for Statistics,technical,0.85,generated
SK0017,Business Intelligence Tools,technical,0.85,generated
SK0018,Business Intelligence Tools,technical,0.85,generated
SK0019,Statistical Modeling,analytical,0.85,generated
SK0020,Statistical Modeling,analytical,0.85,generated
SK0021,Data Wrangling & Cleaning,technical,0.85,generated
SK0022,Data Wrangling & Cleaning,technical,0.85,generated
SK0023,Presentation & Communication,soft,0.85,generated
SK0024,Presentation & Communication,soft,0.85,generated
SK0025,Python & Data Structures,technical,0.85,generated
SK0026,Python & Data Structures,technical,0.85,generated
SK0027,Machine Learning Algorithms,technical,0.85,generated
SK0028,Machine Learning Algorithms,technical,0.85,generated
SK0029,Deep Learning Frameworks,technical,0.85,generated
SK0030,Deep Learning Frameworks,technical,0.85,generated
SK0031,Feature Engineering,technical,0.85,generated
SK0032,Feature Engineering,technical,0.85,generated
SK0033,MLOps & Model Deployment,technical,0.85,generated
SK0034,MLOps & Model Deployment,technical,0.85,generated
SK0035,Statistics & Linear Algebra,analytical,0.85,generated
SK0036,Statistics & Linear Algebra,analytical,0.85,generated
SK0037,Advanced Python Programming,technical,0.85,generated
SK0038,Advanced Python Programming,technical,0.85,generated
SK0039,Deep Learning (TensorFlow/PyTorch),technical,0.85,generated
SK0040,Deep Learning (TensorFlow/PyTorch),technical,0.85,generated
SK0041,Natural Language Processing,technical,0.85,generated
SK0042,Natural Language Processing,technical,0.85,generated
SK0043,Computer Vision,technical,0.85,generated
SK0044,Computer Vision,technical,0.85,generated
SK0045,Large Language Models & RAG,technical,0.85,generated
SK0046,Large Language Models & RAG,technical,0.85,generated
SK0047,System Design & Architecture,analytical,0.85,generated
SK0048,System Design & Architecture,analytical,0.85,generated
SK0049,Cloud Platforms (AWS/GCP/Azure),technical,0.85,generated
SK0050,Cloud Platforms (AWS/GCP/Azure),technical,0.85,generated
SK0051,Cloud Platforms (AWS/GCP/Azure),technical,0.85,generated
SK0052,Data Pipeline & ETL Tools,technical,0.85,generated
SK0053,Data Pipeline & ETL Tools,technical,0.85,generated
SK0054,Big Data Technologies,technical,0.85,generated
SK0055,Big Data Technologies,technical,0.85,generated
SK0056,Containerization & DevOps,technical,0.85,generated
SK0057,Containerization & DevOps,technical,0.85,generated
SK0058,Data Structures & Algorithms,technical,0.85,generated
SK0059,Data Structures & Algorithms,technical,0.85,generated
SK0060,Problem Solving & Logic,analytical,0.85,generated
SK0061,Problem Solving & Logic,analytical,0.85,generated
SK0062,Version Control & Git,technical,0.85,generated
SK0063,Version Control & Git,technical,0.85,generated
SK0064,Object-Oriented Programming,technical,0.85,generated
SK0065,Object-Oriented Programming,technical,0.85,generated
SK0066,System Design Basics,analytical,0.85,generated
SK0067,System Design Basics,analytical,0.85,generated
SK0068,Communication Skills,soft,0.85,generated
SK0069,Communication Skills,soft,0.85,generated
