Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),,,,,,Admission grade,Displaced,Educational special needs,,,,,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,target
1,2,9853,1,1,133,,,,,,130.2,1,0,,,,,19,0,0,6,6,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,Dropout
53,1,9254,1,42,110,,,,,,111.8,1,0,,,,,21,0,0,6,7,6,10.57142857,0,0,6,8,5,11,0,8.9,1.4,3.51,Graduate
1,1,9085,1,1,149,,,,,,137.1,1,0,,,,,18,0,0,5,7,4,13.25,0,0,5,5,5,12,0,10.8,1.4,1.74,Graduate
1,1,9773,1,1,127,,,,,,120.7,1,0,,,,,20,0,0,6,6,5,13.2,0,0,6,7,0,0,0,15.5,2.8,-4.06,Dropout
18,1,9238,1,1,137,,,,,,137.4,1,0,,,,,18,0,0,6,10,1,12,0,0,6,14,2,11,0,10.8,1.4,1.74,Enrolled
17,2,9500,1,1,135,,,,,,127.3,1,0,,,,,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
1,1,9130,1,1,137,,,,,,136.3,1,0,,,,,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
1,1,9853,1,1,140,,,,,,124.6,1,0,,,,,18,0,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
1,3,171,1,1,122,,,,,,120.3,0,0,,,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,Graduate
18,4,9556,1,1,127,,,,,,121.8,1,0,,,,,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
1,4,9500,1,1,142,,,,,,125.5,1,0,,,,,18,0,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,3.7,-1.7,Graduate
1,4,9670,1,1,125,,,,,,114.9,1,0,,,,,19,0,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,11.1,0.6,2.02,Graduate
1,1,9500,1,1,126,,,,,,123.9,0,0,,,,,19,0,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,2.02,Graduate
1,1,9238,1,1,151,,,,,,157,1,0,,,,,18,0,0,6,8,5,11.6,0,0,6,12,4,11,0,7.6,2.6,0.32,Enrolled
17,2,9238,1,1,115,,,,,,116.4,1,0,,,,,21,0,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92,Graduate
1,1,9085,1,1,138,,,,,,131,1,0,,,,,18,0,0,5,9,5,12.66666667,2,0,5,7,4,13,0,9.4,-0.8,-3.12,Enrolled
1,1,9147,1,1,135,,,,,,122.1,1,0,,,,,20,0,0,5,6,5,12,0,0,5,6,5,12.33333333,0,16.2,0.3,-0.92,Graduate
17,2,9500,1,1,127,,,,,,118.8,1,0,,,,,19,0,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,16.2,0.3,-0.92,Enrolled
44,1,9003,1,39,150,,,,,,150,0,0,,,,,21,0,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,16.2,0.3,-0.92,Enrolled
51,1,9070,1,1,125,,,,,,130,1,0,,,,,20,0,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
1,1,9147,1,1,143,,,,,,138.8,0,0,,,,,18,0,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
18,1,8014,0,1,138,,,,,,134.5,1,0,,,,,19,0,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
1,1,9991,0,1,130,,,,,,131.4,0,0,,,,,34,0,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,Graduate
39,1,33,1,1,130,,,,,,102.5,0,0,,,,,37,0,0,7,7,0,0,0,0,7,7,1,10,0,8.9,1.4,3.51,Dropout
39,1,9119,1,10,133.1,,,,,,128.8,1,0,,,,,43,0,0,5,0,0,0,0,0,5,0,0,0,0,7.6,2.6,0.32,Dropout
43,1,9147,1,1,140,,,,,,122.9,0,0,,,,,55,0,0,5,10,1,10,0,0,5,8,2,12,2,16.2,0.3,-0.92,Dropout
39,1,9991,0,1,120,,,,,,113.9,1,0,,,,,39,0,0,5,8,5,11,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
44,1,9130,1,39,120,,,,,,120,0,0,,,,,20,1,2,6,13,3,11.66666667,0,1,6,11,3,12,0,12.4,0.5,1.79,Dropout
1,5,9773,1,1,126,,,,,,121.1,0,0,,,,,18,0,0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,3.7,-1.7,Dropout
1,2,9147,1,1,133,,,,,,120.4,1,0,,,,,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
1,6,9500,1,1,103,,,,,,100.6,1,1,,,,,22,0,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,11.1,0.6,2.02,Graduate
17,1,9773,1,1,120,,,,,,121.4,0,0,,,,,20,0,0,6,7,4,13,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
39,1,9991,0,1,133.1,,,,,,109.7,0,0,,,,,29,0,0,5,0,0,0,0,0,5,0,0,0,0,16.2,0.3,-0.92,Dropout
17,1,9991,0,1,154,,,,,,134.1,0,0,,,,,24,0,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,7.6,2.6,0.32,Enrolled
17,2,9238,1,1,130,,,,,,127.6,1,0,,,,,18,0,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
17,6,9500,1,1,132,,,,,,132.4,1,0,,,,,22,0,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02,Graduate
44,1,8014,0,39,130,,,,,,133.4,0,0,,,,,21,0,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,12.4,0.5,1.79,Graduate
1,1,9238,1,1,139,,,,,,126.1,0,0,,,,,19,0,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,12.7,3.7,-1.7,Graduate
39,1,9254,1,1,130,,,,,,113.5,0,0,,,,,24,0,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,12.4,0.5,1.79,Graduate
1,1,9500,1,1,139,,,,,,121.3,1,0,,,,,19,0,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,9.4,-0.8,-3.12,Enrolled
1,1,9773,1,1,127,,,,,,121.8,1,0,,,,,20,0,0,6,11,4,14,0,0,6,12,3,11,0,9.4,-0.8,-3.12,Enrolled
1,3,9130,1,1,167,,,,,,159.3,0,0,,,,,19,0,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
39,1,9991,0,1,130,,,,,,120,0,0,,,,,27,0,0,5,12,5,10.6,0,0,5,10,5,11,0,9.4,-0.8,-3.12,Dropout
1,1,9500,1,1,130,,,,,,129.1,1,0,,,,,18,0,0,7,9,7,13.04444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
7,1,9254,1,3,130,,,,,,130,0,0,,,,,39,0,0,6,10,0,0,0,0,6,6,0,0,0,12.4,0.5,1.79,Dropout
39,1,9130,1,40,129,,,,,,155.3,1,0,,,,,27,0,0,6,9,5,13,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
17,1,9500,1,1,141,,,,,,139.8,1,0,,,,,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
1,3,171,1,1,125,,,,,,115.2,1,0,,,,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Enrolled
1,2,9500,1,1,125,,,,,,114.9,0,0,,,,,18,0,0,7,8,6,13.13333333,0,0,8,12,7,12.22142857,0,16.2,0.3,-0.92,Graduate
44,1,9238,1,39,130,,,,,,131.9,0,0,,,,,21,0,3,6,7,6,12,0,2,6,7,6,12,0,13.9,-0.3,0.79,Graduate
17,3,171,1,1,133,,,,,,126,1,0,,,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Enrolled
17,1,9070,1,1,127,,,,,,130.2,1,0,,,,,19,0,0,6,6,5,11.4,0,0,6,8,1,10,0,10.8,1.4,1.74,Enrolled
43,1,9070,1,1,116,,,,,,120.9,0,0,,,,,24,0,0,6,6,0,0,0,0,6,6,0,0,0,12.7,3.7,-1.7,Enrolled
42,1,9500,1,19,133.1,,,,,,126,1,0,,,,,29,0,2,7,10,5,11.9,0,1,8,10,5,11,0,13.9,-0.3,0.79,Dropout
1,3,171,1,1,139,,,,,,128.2,1,0,,,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Graduate
44,1,9003,1,39,130,,,,,,130,1,0,,,,,23,0,0,6,8,6,12.57142857,0,0,6,7,6,12.42857143,0,8.9,1.4,3.51,Graduate
1,3,9147,1,1,125,,,,,,120.1,0,0,,,,,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
39,1,9254,1,1,160,,,,,,100,0,0,,,,,26,0,0,6,7,6,12,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
17,1,9147,1,1,148,,,,,,134,0,0,,,,,18,0,0,5,9,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Enrolled
17,1,9500,1,1,150,,,,,,130.8,0,0,,,,,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
1,1,171,1,1,141,,,,,,135.8,1,0,,,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,Dropout
17,4,9254,1,1,118,,,,,,111.7,1,0,,,,,18,0,0,6,12,3,11.66666667,0,0,6,12,1,12,0,12.4,0.5,1.79,Dropout
1,2,9773,1,1,142,,,,,,132.9,1,0,,,,,18,0,0,6,8,6,12.33333333,0,0,6,11,3,12.33333333,0,10.8,1.4,1.74,Graduate
17,3,9147,1,1,120,,,,,,115.5,1,0,,,,,18,0,0,5,8,3,10.33333333,0,0,5,11,3,10.85714286,0,10.8,1.4,1.74,Dropout
18,4,9254,1,1,106,,,,,,106,1,0,,,,,21,0,0,6,8,4,10.5,0,0,6,11,1,11,0,9.4,-0.8,-3.12,Dropout
17,4,9773,1,1,121,,,,,,120.3,1,0,,,,,19,0,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,8.9,1.4,3.51,Graduate
17,4,9500,1,1,150,,,,,,130.8,0,0,,,,,22,0,0,7,7,7,14.84285714,0,0,8,9,8,15.05555556,0,16.2,0.3,-0.92,Graduate
39,1,8014,0,1,120,,,,,,117,0,0,,,,,33,0,0,6,8,6,12,0,0,6,6,6,11.66666667,0,10.8,1.4,1.74,Graduate
1,6,9853,1,1,114,,,,,,110.2,1,0,,,,,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
39,1,9991,0,2,140,,,,,,155.7,1,0,,,,,35,0,0,1,1,0,0,1,0,5,0,0,0,0,10.8,1.4,1.74,Dropout
39,1,9003,1,4,160,,,,,,180.4,0,0,,,,,24,0,6,12,17,6,12.16666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
17,1,9254,1,1,120,,,,,,125.5,0,0,,,,,18,0,0,5,6,5,12,0,0,5,8,3,11.33333333,0,12.7,3.7,-1.7,Enrolled
39,1,8014,0,1,130,,,,,,110,1,0,,,,,33,0,0,6,7,6,11,0,0,6,11,5,11,0,9.4,-0.8,-3.12,Graduate
42,1,9500,1,1,160,,,,,,161,1,0,,,,,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate
39,1,9670,1,1,120,,,,,,100,0,0,,,,,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
17,1,9070,1,1,124,,,,,,117.6,1,0,,,,,20,0,0,6,9,6,10.66666667,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate
1,6,9147,1,1,143,,,,,,128.7,1,0,,,,,23,0,0,5,6,4,14,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled
43,2,9119,1,1,115,,,,,,112.2,1,0,,,,,18,0,0,5,9,2,10,0,0,5,9,0,0,0,15.5,2.8,-4.06,Enrolled
39,1,9500,1,1,133.1,,,,,,100.8,0,0,,,,,24,0,0,7,18,0,0,0,0,7,7,0,0,0,13.9,-0.3,0.79,Dropout
17,2,9773,1,1,133.1,,,,,,105,1,0,,,,,21,1,0,6,6,6,14,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate
15,1,9130,1,1,133.1,,,,,,100,0,0,,,,,26,1,0,6,7,2,12,1,0,6,6,0,0,0,8.9,1.4,3.51,Dropout
39,1,9853,1,10,133.1,,,,,,115.5,0,0,,,,,39,0,0,6,12,3,12.66666667,0,0,6,14,0,0,1,7.6,2.6,0.32,Dropout
39,1,8014,0,1,133.1,,,,,,114,0,0,,,,,44,0,2,8,11,8,11.875,0,0,6,7,6,12.33333333,0,12.7,3.7,-1.7,Graduate
15,1,9119,1,1,130,,,,,,137,1,0,,,,,19,1,0,5,9,5,14,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled
1,5,9773,1,1,135,,,,,,124.9,1,0,,,,,18,0,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,8.9,1.4,3.51,Graduate
1,5,9500,1,1,132,,,,,,120.3,1,0,,,,,18,0,0,7,7,7,13.75,0,0,8,9,8,14.47777778,0,12.4,0.5,1.79,Graduate
1,1,9085,1,1,135,,,,,,134.3,1,0,,,,,19,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Enrolled
1,4,9500,1,1,115,,,,,,111.5,1,0,,,,,19,0,0,7,10,4,11.96,0,0,7,7,0,0,0,13.9,-0.3,0.79,Dropout
53,1,9085,1,42,130,,,,,,128.8,0,0,,,,,21,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Dropout
1,4,171,1,1,133.1,,,,,,110,1,0,,,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,0.3,-0.92,Graduate
39,1,8014,0,1,130,,,,,,113.5,1,0,,,,,36,0,0,6,0,0,0,0,0,6,0,0,0,0,9.4,-0.8,-3.12,Dropout
39,1,9003,1,12,133.1,,,,,,160,0,0,,,,,43,0,13,18,19,18,14.63157895,0,10,13,14,13,14.23076923,1,15.5,2.8,-4.06,Graduate
18,1,9853,1,1,123,,,,,,117.4,1,0,,,,,19,0,0,6,0,0,0,0,0,6,0,0,0,0,11.1,0.6,2.02,Dropout
51,1,9070,1,1,130,,,,,,122.2,0,0,,,,,20,0,4,10,12,10,13,0,5,11,11,11,12.27272727,0,11.1,0.6,2.02,Graduate
1,2,9238,1,1,122,,,,,,118.2,1,0,,,,,19,0,0,6,0,0,0,0,0,6,0,0,0,0,16.2,0.3,-0.92,Dropout
1,1,9085,1,1,113,,,,,,106.7,1,0,,,,,20,0,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,Dropout
1,5,9500,1,1,111,,,,,,108.2,1,0,,,,,20,0,2,7,9,6,13.26666667,0,0,7,10,5,12.3,0,12.4,0.5,1.79,Dropout
17,2,9853,1,1,133.1,,,,,,107,1,0,,,,,20,0,0,7,12,6,11.66666667,0,0,7,10,3,13,0,16.2,0.3,-0.92,Enrolled
1,1,9238,1,1,142,,,,,,136.1,1,0,,,,,18,0,0,6,8,6,13.85714286,0,0,6,6,6,15,0,13.9,-0.3,0.79,Graduate
17,2,9147,1,1,123,,,,,,115.3,1,0,,,,,18,0,0,5,9,3,13,0,0,5,11,3,11,0,8.9,1.4,3.51,Enrolled
1,1,9085,1,1,131,,,,,,139.8,1,0,,,,,19,0,0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,Graduate
1,3,9773,1,1,158,,,,,,157,1,0,,,,,18,0,0,6,6,6,12.66666667,0,0,6,7,6,12.57142857,0,10.8,1.4,1.74,Graduate
17,2,9500,1,1,122,,,,,,131,1,0,,,,,18,0,0,7,7,6,12.51666667,1,0,7,7,6,12.51666667,1,7.6,2.6,0.32,Dropout
43,1,9500,1,1,130,,,,,,100,0,0,,,,,20,0,0,7,11,6,11.61666667,0,0,7,7,7,13,0,13.9,-0.3,0.79,Enrolled
17,1,9238,1,1,154,,,,,,140.4,1,0,,,,,20,0,0,6,13,2,10,0,0,6,12,4,10.75,0,7.6,2.6,0.32,Enrolled
17,1,9147,1,1,120,,,,,,113.4,0,0,,,,,20,0,0,5,11,3,10.33333333,0,0,5,10,3,10.66666667,0,12.4,0.5,1.79,Enrolled
1,2,9085,1,1,140,,,,,,137,0,0,,,,,18,0,0,5,12,5,13.14285714,2,0,5,6,5,11.4,0,9.4,-0.8,-3.12,Graduate
1,1,9147,1,1,127,,,,,,121.8,0,0,,,,,18,0,0,5,5,5,12.6,0,0,5,5,5,14,0,11.1,0.6,2.02,Graduate
17,1,9254,1,1,133.1,,,,,,131,1,0,,,,,21,0,0,6,12,3,11,0,0,6,12,2,11,0,9.4,-0.8,-3.12,Dropout
1,2,9147,1,1,120,,,,,,118.6,1,0,,,,,19,0,0,5,8,5,10.8,0,0,5,9,4,11.25,2,16.2,0.3,-0.92,Graduate
1,1,171,1,1,137,,,,,,122.3,0,0,,,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
1,1,9670,1,1,131,,,,,,127.9,0,0,,,,,19,0,0,5,5,5,12.8,0,0,5,5,5,14.2,0,9.4,-0.8,-3.12,Graduate
1,1,9085,1,1,130,,,,,,121.3,1,0,,,,,19,0,0,6,15,6,14.16666667,0,0,6,13,6,12.2,0,15.5,2.8,-4.06,Graduate
17,6,9556,1,1,122,,,,,,117.1,1,0,,,,,19,0,0,7,12,5,12.1,0,0,7,0,0,0,0,13.9,-0.3,0.79,Dropout
44,1,9085,1,39,160,,,,,,160,1,0,,,,,20,0,1,6,7,6,14.16666667,0,1,6,17,5,13.77777778,0,12.4,0.5,1.79,Graduate
1,1,9853,1,1,146,,,,,,145.3,1,0,,,,,18,0,0,6,8,5,12.8,0,0,6,7,5,13.4,0,9.4,-0.8,-3.12,Enrolled
17,3,9238,1,1,131,,,,,,122.6,1,0,,,,,18,0,0,6,7,6,13,0,0,6,6,6,13.66666667,0,12.4,0.5,1.79,Graduate
17,6,9500,1,1,132,,,,,,128,1,0,,,,,19,0,0,7,7,7,13.46714286,0,0,8,9,8,15.01111111,0,12.4,0.5,1.79,Graduate
1,3,9500,1,1,138,,,,,,124.9,1,0,,,,,18,0,0,7,9,7,13.2375,0,0,8,9,7,13.74285714,0,13.9,-0.3,0.79,Dropout
17,2,9070,1,1,130,,,,,,123.7,1,0,,,,,18,0,0,6,6,6,12.33333333,0,0,6,6,6,13,0,7.6,2.6,0.32,Graduate
1,4,9147,1,1,126,,,,,,120.1,1,0,,,,,19,0,0,5,7,5,12.4,0,0,5,5,5,14.6,0,8.9,1.4,3.51,Graduate
17,6,9500,1,1,148,,,,,,131.7,1,0,,,,,19,0,0,7,8,5,14,0,0,7,7,0,0,0,13.9,-0.3,0.79,Dropout
43,1,9238,1,1,130,,,,,,133.2,0,0,,,,,20,0,5,9,15,9,11.66666667,0,2,7,8,7,11.71428571,0,7.6,2.6,0.32,Graduate
1,1,9670,1,1,117,,,,,,109.3,0,0,,,,,19,0,0,6,7,5,12,0,0,6,9,4,12.5,0,12.4,0.5,1.79,Dropout
17,1,9670,1,1,120,,,,,,113,1,0,,,,,20,0,0,5,7,4,12.2,0,0,5,5,4,11.5,0,7.6,2.6,0.32,Graduate
1,1,9773,1,1,153,,,,,,157.9,0,0,,,,,18,0,0,6,6,6,14.83333333,0,0,6,6,6,14.83333333,0,8.9,1.4,3.51,Graduate
1,2,9500,1,1,117,,,,,,112.1,0,0,,,,,20,0,0,7,9,5,13.188,0,0,8,9,7,12.89285714,0,11.1,0.6,2.02,Enrolled
18,1,9500,1,1,178,,,,,,174.7,0,0,,,,,18,0,0,7,8,7,17.125,0,0,8,8,8,17.5875,0,13.9,-0.3,0.79,Graduate
1,5,9500,1,1,129,,,,,,128.8,1,0,,,,,19,0,0,7,7,6,12.66666667,0,0,7,7,6,12.66666667,0,7.6,2.6,0.32,Graduate
1,6,9773,1,1,116,,,,,,110.1,1,0,,,,,19,0,0,6,8,6,12.66666667,0,0,6,10,5,12,0,12.4,0.5,1.79,Graduate
51,1,9147,1,1,99,,,,,,99.7,1,0,,,,,22,0,0,5,8,0,0,0,0,5,7,0,0,0,8.9,1.4,3.51,Enrolled
1,3,9238,1,1,135,,,,,,121,1,0,,,,,19,0,0,6,7,6,11.33333333,0,0,6,6,6,11.5,0,12.4,0.5,1.79,Graduate
1,3,9500,1,1,141,,,,,,131.7,1,0,,,,,19,0,0,7,10,7,13.605,0,0,8,11,8,12.33125,0,15.5,2.8,-4.06,Graduate
17,5,9853,1,1,132,,,,,,119.1,1,0,,,,,19,0,0,6,10,5,12,0,0,6,9,5,10.8,0,9.4,-0.8,-3.12,Graduate
1,4,9254,1,1,132,,,,,,124.7,1,0,,,,,19,0,0,5,10,0,0,0,0,5,10,0,0,0,7.6,2.6,0.32,Dropout
17,1,9254,1,1,113,,,,,,117.2,1,0,,,,,20,0,0,6,8,5,11.2,0,0,6,12,3,11.66666667,0,7.6,2.6,0.32,Dropout
1,1,9147,1,1,134,,,,,,128.8,0,0,,,,,18,0,0,5,10,5,13.375,0,0,5,9,5,14.16666667,0,13.9,-0.3,0.79,Graduate
1,1,9500,1,1,136,,,,,,131.5,0,0,,,,,20,0,0,7,8,6,13.86333333,0,0,8,9,7,14.17857143,0,11.1,0.6,2.02,Graduate
1,1,171,1,1,136,,,,,,121.7,1,0,,,,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12,Enrolled
1,1,9085,1,1,129,,,,,,123.4,0,0,,,,,19,0,0,5,6,5,12.4,0,0,5,6,5,13.4,0,7.6,2.6,0.32,Graduate
17,1,9853,1,1,138,,,,,,124.7,1,0,,,,,18,0,0,6,11,3,12.33333333,0,0,6,10,5,10.83333333,0,9.4,-0.8,-3.12,Enrolled
1,1,9853,1,1,137,,,,,,132.8,1,0,,,,,18,0,0,6,7,6,13.33333333,0,0,6,8,5,11.8,0,7.6,2.6,0.32,Graduate
43,1,9853,1,1,115,,,,,,108.7,1,0,,,,,21,0,0,6,10,3,12.66666667,0,0,6,12,3,10,0,9.4,-0.8,-3.12,Dropout
1,1,9853,1,1,129,,,,,,138.1,0,0,,,,,19,0,0,6,8,6,12,0,0,6,10,4,11.5,0,7.6,2.6,0.32,Dropout
1,1,9147,1,1,131,,,,,,126.5,0,0,,,,,18,0,0,5,5,5,10.6,0,0,5,5,5,11.8,0,12.4,0.5,1.79,Graduate
17,2,9238,1,1,133,,,,,,127.4,1,0,,,,,18,0,0,6,8,6,12.25,0,0,6,7,6,11.85714286,0,12.7,3.7,-1.7,Graduate
1,3,9238,1,1,125,,,,,,123.6,1,0,,,,,20,0,0,6,10,4,11,0,0,6,9,6,11.83333333,0,9.4,-0.8,-3.12,Graduate
39,1,8014,0,1,120,,,,,,122,0,0,,,,,24,0,0,6,11,5,11,0,0,6,9,5,12.6,0,11.1,0.6,2.02,Graduate
1,1,9670,1,1,128,,,,,,118.2,0,0,,,,,19,0,0,6,6,6,13.16666667,0,0,6,9,6,13,0,10.8,1.4,1.74,Dropout
1,1,9500,1,1,127,,,,,,123.9,1,0,,,,,18,0,0,7,9,7,12.85555556,0,0,8,12,7,12.76111111,0,15.5,2.8,-4.06,Graduate
1,2,9500,1,1,134,,,,,,125.8,1,0,,,,,18,0,0,7,8,7,14.91875,0,0,8,8,8,15.355,0,15.5,2.8,-4.06,Graduate
17,5,9853,1,1,132,,,,,,123.3,1,0,,,,,21,0,0,6,13,4,11.5,0,0,6,10,3,11,0,10.8,1.4,1.74,Dropout
17,2,9670,1,1,124,,,,,,124.4,0,0,,,,,19,0,0,5,5,5,14.2,0,0,5,5,5,14.2,0,7.6,2.6,0.32,Graduate
17,1,9773,1,1,133.1,,,,,,126,0,0,,,,,19,0,0,6,6,6,12.5,0,0,6,7,6,13,0,15.5,2.8,-4.06,Graduate
39,1,9003,1,1,170,,,,,,170,0,0,,,,,47,0,0,1,1,0,0,0,0,6,0,0,0,0,8.9,1.4,3.51,Enrolled
17,3,9238,1,1,125,,,,,,121.5,0,0,,,,,19,0,0,6,10,5,11.66666667,0,0,6,12,4,11,0,13.9,-0.3,0.79,Graduate
39,1,9500,1,3,130,,,,,,130,0,0,,,,,29,0,1,8,8,7,14.25714286,0,1,8,8,7,14.25714286,0,12.7,3.7,-1.7,Graduate
